,Модель,Описание,Цена
37,"
                    Apple iPhone 14 256GB Черный (Dual Sim)
","
                Colour: Черный; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.1""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 172 г.
              ",99 990
38,"
                    Смартфон BQ Clever 3/16Gb, 5765L, серый
","
                Материал: стекло; Линейка: BQ Clever; Цвет: серый; Производитель: BQ. ОС Android 11, FM-радио, GPS, оперативная память: 3 ГБ, встроенная память: 16 ГБ
              ",4 690
39,"
                    HUAWEI nova 10 SE 128GB Зеленый
","
                Colour: Зеленый; Производитель: HUAWEI. 2G, 3G, 4G, Wi-Fi; ОС EMUI; Дисплей сенсорный емкостный 16,7 млн цв. 6.67""; Камера 108 Mpix, AF; MP3, FM,  BEIDOU / GPS / Galileo / ГЛОНАСС; Вес: 184 г.
              ",22 990
40,"
                    Смартфон Xiaomi Redmi 10 2022 4/64Gb, серый карбон
","
                Материал: стекло; Линейка: Xiaomi Redmi 10; Цвет: серый карбон; Производитель: XIAOMI. ОС Android 11, FM-радио, GPS, время работы в режиме разговора, до: 30 ч, чехол в комплекте, оперативная память: 4 ГБ, встроенная память: 64 ГБ
              ",16 990
41,"
                    Apple iPhone 14 128GB Сияющая звезда
","
                Colour: Белый; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.1""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 172 г.
              ",84 990
42,"
                    Смартфон vivo V25 8/256Gb, черный бриллиант
","
                Материал: стекло; Линейка: vivo V; Цвет: черный бриллиант; Производитель: VIVO. ОС Android 12, FM-радио, GPS, время работы в режиме разговора, до: 17 ч, в режиме ожидания, до: 480 ч, чехол в комплекте, оперативная память: 8 ГБ, встроенная память: 256 ГБ
              ",37 990
43,"
                    Xiaomi Redmi Note 10 Pro 256GB Aurora Green
","
                Colour: Зеленый; Производитель: Xiaomi. 2G, 3G, 4G, Wi-Fi; ОС Android; Дисплей сенсорный 16,7 млн цв. 6.67""; Камера 108 Mpix, AF; Разъем для карт памяти; MP3,  ГЛОНАСС / GPS / BEIDOU / Galileo; Вес: 193 г.
              ",25 990
44,"
                    Смартфон OPPO A57s 4/64Gb, CPH2385, черный
","
                Материал: стекло; Линейка: OPPO A; Цвет: черный; Производитель: OPPO. ОС Android 12, FM-радио, GPS, с защитой от пыли и влаги, время работы в режиме разговора, до: 30 ч, в режиме ожидания, до: 304 ч, оперативная память: 4 ГБ, встроенная память: 64 ГБ
              ",13 490
45,"
                    Apple iPhone 14 128GB Фиолетовый (Dual Sim)
","
                Colour: Фиолетовый; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.1""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 172 г.
              ",84 990
46,"
                    Apple iPhone 14 128GB (PRODUCT)RED
","
                Colour: Красный; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.1""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 172 г.
              ",84 990
47,"
                    Смартфон BQ Clever 3/16Gb, 5765L, золотистый
","
                Материал: стекло; Линейка: BQ Clever; Цвет: золотистый; Производитель: BQ. ОС Android 11, FM-радио, GPS, оперативная память: 3 ГБ, встроенная память: 16 ГБ
              ",3 990
48,"
                    Apple iPhone 14 128GB Темная ночь
","
                Colour: Черный; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.1""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 172 г.
              ",84 990
49,"
                    Смартфон REALME C21Y 3/32Gb, голубой
","
                Материал: стекло; Линейка: Realme C21Y; Цвет: голубой; Производитель: REALME. ОС Android 11, GPS, время работы в режиме разговора, до: 40 ч, в режиме ожидания, до: 1098 ч, оперативная память: 3 ГБ, встроенная память: 32 ГБ
              ",8 990
50,"
                    Apple iPhone 14 Plus 128GB Голубой
","
                Colour: Голубой; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.7""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 203 г.
              ",96 990
51,"
                    Смартфон Huawei nova Y70 4/128Gb, черный
","
                Материал: стекло; Линейка: Huawei nova; Цвет: черный; Производитель: HUAWEI. ОС Android 11 HMS, GPS, оперативная память: 4 ГБ, встроенная память: 128 ГБ
              ",14 990
